Exercise Name,MainMuscleGroup,DetailedMuscleGroup,OtherMuscleGroups,Type,Mechanics,Equipment,Difficulty,InstructionText,PIC_NO,Link
Close Hand Pushup,Abs,,"Glutes , Upper Legs",Strength,Compound,"Bench , Machine - Strength",Beginner,"Steps :
_x000D_
1.) Start off by placing a flat bench right in front of a low pulley cable machine and attaching ankle straps to the pulley.
_x000D_
2.) Lay with your back flat on the bench, feet pointed towards the machine and your hands grasping the bench behind your head.
_x000D_
3.) Slowly pull one knee up as high as you can towards your chest until you feel a stretch in your abs, keeping the other leg straight out in front of you, then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3956', '3957']",https://www.jefit.com/exercises/860/Close-Hand-Pushup
Weight Plate Standing Hand Squeeze,Forearm,,,Strength,Isolation,Weight,Beginner,"Steps :
_x000D_
1.) Start off standing up straight with your feet shoulder width apart, arms at your side and one arm holding a weight plate at hip level.
_x000D_
2.) Lower the weight down so that your fingers are nearly extended but you are still able to hold onto the weight and hold this position for a count.
_x000D_
3.) Raise the plate back up to the starting position and repeat for as many reps and sets as desired.","['3452', '3453']",https://www.jefit.com/exercises/863/Weight-Plate-Standing-Hand-Squeeze
Seated Glute,Glutes,,,Stretching,Isolation,Body,Intermediate,"Steps : 
_x000D_
1.) You will need a partner for this stretch.
_x000D_
2.) Start off in a seated position with your knees bent and one ankle crossed over one knee.
_x000D_
3.) With your partner standing behind you, lean forward as your partner braces your shoulders then try to push your body back for 15 to 30 seconds while your partner tries to prevent any movements.
_x000D_
4.) Relax your muscles and have your partner gently push your body forward for 15 to 30 seconds to increase the stretch.
_x000D_
5.) Repeat for as many reps and however long as desired.","['3456', '3457']",https://www.jefit.com/exercises/864/Seated-Glute
Single Leg Glute Bridge,Glutes,,,Strength,Isolation,Body,Beginner,"Steps :
_x000D_
1.) Start off laying on the floor with your feet flat on the ground and knees bent.
_x000D_
2.) Slowly raise one leg off of the ground, pulling the knee towards your chest then extend your hip upward raising your glutes and lower body up off of the ground, still keeping your foot elevated.
_x000D_
3.) Extend your body up as far as possible until you feel a stretch in your glutes and hold for a few seconds.
_x000D_
4.) Return back to the starting position and repeat for as many reps and sets as desired.","['3460', '3461']",https://www.jefit.com/exercises/865/Single-Leg-Glute-Bridge
Dumbbell Alternating Deltoid Raise,Triceps,,,Strength,Isolation,Machine,Beginner,"Steps :
_x000D_
1.) Start off placing a handle on a low cable pulley machine and putting a flat bench in front of the machine.
_x000D_
2.) Stand up straight with your back facing the machine, grabbing the handle with one hand and extending it over your head, as this will be your starting position.
_x000D_
3.) Slowly lower the weight behind your head, squeezing your tricep and holding for a count.
_x000D_
4.) Return back to the starting position.","['4740', '4741']",https://www.jefit.com/exercises/866/Dumbbell-Alternating-Deltoid-Raise
Arm Circles,Chest,,"Shoulders , Triceps",Strength,Compound,"Barbell , Bench",Intermediate,"Steps :
_x000D_
1.) Start off lying with your back flat on a decline bench, holding a weighted barbell above your chest and arms fully extended out in front of you.
_x000D_
2.) Then slowly move the barbell back and down behind you so that your arms stay fully extended but the barbell is behind your head and body about to touch the floor.
_x000D_
3.) Squeeze your shoulder and chest muscles on the way down and hold for a count.
_x000D_
4.) Return the barbell back up to the starting position, keeping your arms fully extended.
_x000D_
5.) Repeat for as many reps and sets as desired.","['5308', '5309']",https://www.jefit.com/exercises/867/Arm-Circles
Medicine Ball Backward Throw,Shoulders,,,Strength,Compound,Others,Beginner,Targeted Muscle Group,"['3472', '3473', '3474']",https://www.jefit.com/exercises/868/Medicine-Ball-Backward-Throw
Cable Shoulder Press,Chest,,,Strength,Isolation,"Bench , Machine - Strength",Beginner,"Steps :
_x000D_
1.) Start off laying back on an decline bench facing away from a cable machine.
_x000D_
2.) Grab a cable and hold it one hand in an overhand grip, bringing the cable to about level with your right pec and elbow bent at 90 degrees.
_x000D_
3.) Once in position, slowly press and extend your arm straight out until you feel tension in your chest, and hold for a count.
_x000D_
4.) Repeat for as many reps and sets desired.","['2924', '2925']",https://www.jefit.com/exercises/869/Cable-Shoulder-Press
Chair Upper Body Stretch,Shoulders,,,Strength,Isolation,Machine,Beginner,"Steps :
_x000D_
1.) Start off setting up a handle on a low pulley cable machine, stand to the side of the weights and grab the handle with the opposite arm of the machine.
_x000D_
2.) Bring your arm to waist level and slowly elevate it up and out in a semi-circle motion, squeezing your shoulders during the movement.
_x000D_
3.) Hold for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4508', '4509']",https://www.jefit.com/exercises/870/Chair-Upper-Body-Stretch
Elbow Circles,Biceps,,Forearm,Strength,Isolation,"Bench , Dumbbell",Beginner,"Steps :
_x000D_
1.) Start off taking an adjustable bench and elevating it to around 30 degrees, with your legs extended behind you and toes on the floor, and your arms in front of you with a dumbbell in each hand.
_x000D_
2.) Hold the dumbbells in a neutral grip and let them hang towards the ground.
_x000D_
3.) Slowly elevate the weights up towards your shoulders, isolating your biceps, and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4080', '4081']",https://www.jefit.com/exercises/871/Elbow-Circles
Dumbbell External Rotation,Abs,,"Back , Chest",Stretching,Compound,Exercise,Beginner,"Steps : 
_x000D_
1.) Begin by kneeling on the floor in front of an exercise ball and then place your hands on the ball with your arms straight.
_x000D_
2.) Roll down forward slowly so that your head is even with your arms and hold this stretch for 15 to 30 seconds.
_x000D_
3.) Return back to the starting position and repeat this pose",['2128'],https://www.jefit.com/exercises/872/Dumbbell-External-Rotation
Cable External Rotation,Shoulders,Traps,"Biceps , Back",Strength,Compound,Barbell,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off by placing a weighted barbell in front of your legs bending over slightly with your glutes extended out.
_x000D_
2.) Let your arms hang down and grab the barbell, lifting slightly so that the bar is rested around your shins.
_x000D_
3.) Pull the barbell up towards your chest keeping your body still during the entire movement. 
_x000D_
4.) As you reach your chest squeeze your back and your deltoids tightly holding on for a few seconds.
_x000D_
5.) Return back to the starting position.
_x000D_
6.) Repeat this exercise for as many repetitions as needed","['1592', '1593']",https://www.jefit.com/exercises/873/Cable-External-Rotation
Cable Rope Face Pull,Abs,,"Back , Upper Legs",Stretching,Compound,Body,Beginner,"Steps : 
_x000D_
1.) Start off by sitting on a mat and leaning back with your hands and keeping your pelvis forward.
_x000D_
2.) Shift your abs so that they are closer in towards your spine and then lift your legs in the air with feet together and toes pointed out.
_x000D_
3.) Keeping your legs straight reach your hands forward towards your knees and hold this position for up to 5 seconds.
_x000D_
4.) Return back to the starting position and then repeat steps again.","['2000', '2001']",https://www.jefit.com/exercises/874/Cable-Rope-Face-Pull
Handstand Pushups,Shoulders,,Triceps,Strength,Compound,Body,Expert,"Steps :
_x000D_
1.) Start off with your back up against a wall, then bend forward placing both hands on the floor in front of you shoulder width apart.
_x000D_
2.) Slowly kick your feet up against the wall, still keeping your arms straight, and walk your way up the wall with your feet so that your legs and arms are fully extended.
_x000D_
3.) Make sure that your body is straight and balanced before you move onto the next step.
_x000D_
4.) Slowly, through your shoulders, lower yourself towards the ground so that your head almost touches the floor and you feel a stretch in your shoulders and upper body.
_x000D_
5.) Push yourself back up until your elbows are near locked.
_x000D_
6.) Repeat for as many reps and sets as desired.","['3500', '3501']",https://www.jefit.com/exercises/875/Handstand-Pushups
Leverage Shoulder Press,Shoulders,,Triceps,Strength,Compound,Machine,Beginner,"Steps :
_x000D_
1.) Start off loading the amount of weight that you would like to use on the leverage machine and adjusting the seat so that the handles are near the top of your shoulders, keeping your head and chest straight up.
_x000D_
2.) Slowly press the handles upward extending through the elbows until you feel a stretch on your shoulders and hold for a count.
_x000D_
3.) Return back to the starting position but do not touch the stops until your set is complete.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3504', '3505']",https://www.jefit.com/exercises/876/Leverage-Shoulder-Press
Dumbbell Power Partials,Chest,Upper Chest,"Shoulders , Triceps",Strength,Compound,"Dumbbell , Bench",Beginner,"This is a variation of the bench press exercise that utilizes dumbbells in order to help build a strong upper chest.
_x000D_
Steps :
_x000D_
1.) Start off by setting up a bench on a 30 degree incline and then place dumbbells by your feet.
_x000D_
2.) Take the dumbbells and bring them to the starting position which is just above your chest, keeping your elbows bent so that your forearms are facing upward.
_x000D_
3.) Then push the dumbbells up in a straight motion, focusing on squeezing your chest and targeting those muscles on the motion upward.
_x000D_
4.) Raise the dumbbells up as high as you can without locking your elbows and hold for a count.
_x000D_
5.) Return back down slowly to the starting position and repeat for as many reps and sets as desired.
_x000D_
Tips :
_x000D_
1.) It is important to use a weight that you can manage so that you are able to get into the starting position easier for this exercise.
_x000D_
2.) You should have a spotter to help you with this exercise.","['124', '125']",https://www.jefit.com/exercises/877/Dumbbell-Power-Partials
Machine Reverse Flyes,Shoulders,,,Strength,Isolation,Machine,Beginner,"Steps :
_x000D_
1.) Start off adjusting the handles on a fly machine so that they are fully to the rear in place for reverse flys and positioning the seat so that the handles are at shoulder level.
_x000D_
2.) Grab the handles so that your hands are facing inwards and then pull your arms out to your sides and as far back as possible, contracting your shoulders and rear delts.
_x000D_
3.) Keep this motion until you feel a stretch in your shoulders then hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['3512', '3513']",https://www.jefit.com/exercises/878/Machine-Reverse-Flyes
Cable Seated Shoulder Press,Back,,,Strength,Isolation,Machine,Intermediate,"Steps : 
_x000D_
1.) Start off by attaching a bar to a low pulley cable machine and standing in front of it with your feet shoulder width apart and back straight.
_x000D_
2.) Bend down and grab the bar with an overhand grip and slowly lift the bar up towards upper thigh level, keeping your back, arms and legs straight through the motion.
_x000D_
3.) Hold this position for a count then return back to the start.
_x000D_
4.) Repeat for as many reps and sets desired.","['3140', '3141']",https://www.jefit.com/exercises/879/Cable-Seated-Shoulder-Press
